Sample_ID,Valid_Length,RMSD_Angstroms,Full_dRMSD,Helix_dRMSD,Sheet_dRMSD,GDT_TS,TM_Score,Q3_Accuracy,Top-L/2_Prec
20074,185,17.4835,9.7273,1.0856,0.3976,0.0257,0.1303,0.4486,0.1087
20075,175,25.7980,18.1086,nan,nan,0.0071,0.0623,0.2686,0.0115
20076,200,18.5576,13.6805,0.2696,0.2933,0.0850,0.2173,0.6250,0.0300
20077,195,15.1569,6.1840,0.3641,0.2548,0.0615,0.2024,0.6667,0.0722
20078,200,26.0495,14.1439,0.8182,3.6823,0.0112,0.0719,0.4700,0.0000
20079,136,16.7762,7.7862,0.9319,0.3654,0.0404,0.1186,0.3088,0.1324
20080,180,19.9676,10.5530,0.4607,nan,0.0069,0.0973,0.5556,0.0667
20081,200,37.6888,31.9779,0.5630,0.5183,0.0000,0.0519,0.6650,0.0500
20082,189,22.3748,12.6206,0.9696,0.3542,0.0119,0.0951,0.4974,0.0000
20083,190,20.8944,9.8800,0.5166,0.4629,0.0013,0.0836,0.4316,0.0737
20084,175,22.1150,11.5343,0.8511,0.5852,0.0800,0.1749,0.5771,0.0000
20085,199,17.4571,7.0348,0.3296,0.3552,0.0201,0.1364,0.7186,0.0101
20086,162,10.8310,6.4112,1.2785,0.2988,0.1204,0.2756,0.2963,0.1852
20087,196,17.3167,7.5461,nan,0.2721,0.0344,0.1504,0.6173,0.0408
20088,196,21.9798,14.1247,0.3687,0.2718,0.0140,0.1187,0.6378,0.1429
20089,200,19.1371,8.7733,0.6327,0.2444,0.0100,0.1135,0.6000,0.0800
20090,186,35.3532,26.9030,0.6930,0.6525,0.0081,0.0522,0.6022,0.0753
20091,187,36.0919,22.8575,0.4733,0.4519,0.0000,0.0317,0.5829,0.0968
20092,167,18.6412,9.4702,0.3830,0.5099,0.0404,0.1332,0.3653,0.0000
20093,190,32.3750,28.0354,nan,0.5610,0.0000,0.0518,0.4947,0.0105
20094,171,20.8901,9.9425,0.5627,0.6279,0.0263,0.1164,0.2339,0.0000
20095,200,20.3211,11.3248,0.3262,0.1881,0.0200,0.1285,0.6000,0.0300
20096,194,19.6036,11.7475,0.6120,0.3906,0.0064,0.0937,0.6031,0.0928
20097,151,24.5914,18.2115,1.3217,nan,0.0149,0.0715,0.4901,0.2000
20098,200,22.0070,9.5511,0.6035,0.3337,0.0213,0.1292,0.6950,0.1000
20099,196,28.0123,16.6990,0.4518,nan,0.0026,0.0763,0.7347,0.0918
20100,187,18.4370,8.9584,0.5650,0.6372,0.0187,0.1171,0.2139,0.1398
20101,173,20.0130,9.2776,0.1837,0.3277,0.0347,0.1283,0.4451,0.0116
20102,195,21.1295,9.8877,0.3539,0.2619,0.0256,0.1232,0.5897,0.1649
20103,194,18.5879,12.2694,0.4151,0.4583,0.0554,0.1802,0.5412,0.4021
20104,184,33.5187,24.0793,2.2894,0.8826,0.0054,0.0470,0.4239,0.0109
20105,196,25.9979,15.9913,0.4167,0.2871,0.0242,0.0894,0.6939,0.1633
20106,185,22.3930,15.0759,0.6616,0.3864,0.0635,0.1661,0.4973,0.0543
20107,200,21.6222,14.6925,0.4143,0.4555,0.0088,0.0995,0.6900,0.0600
20108,196,24.1368,13.1291,0.4400,0.4927,0.0013,0.0689,0.5612,0.0000
20109,200,22.9242,12.3326,0.3902,0.4265,0.0050,0.0994,0.7250,0.1400
20110,200,21.6242,12.7281,0.4661,0.4272,0.0075,0.0896,0.6750,0.0100
20111,168,18.4916,7.7891,1.0294,1.0492,0.0446,0.1390,0.2560,0.0476
20112,189,19.6684,7.8059,0.6092,0.3465,0.0344,0.1391,0.4815,0.2021
20113,200,42.7076,37.4420,3.8417,0.7360,0.0000,0.0252,0.5850,0.0000
20114,193,14.6345,7.6683,0.2732,1.3182,0.0699,0.2151,0.6891,0.0729
20115,178,19.8299,8.5745,0.3769,0.5011,0.0295,0.1343,0.5112,0.0337
20116,168,26.5896,17.2267,0.5879,0.7376,0.0045,0.0669,0.2143,0.0595
20117,161,10.7233,4.8869,0.7337,0.3450,0.1413,0.2946,0.3292,0.0000
